track,condition_id,alpha,epsilon,epsilon_phys,epsilon_math,stage,onnx_mode,target_source,n_images,n_images_attempted,n_images_ok,n_images_failed,n_jobs_total,n_jobs_ok,n_jobs_error,n_staffs,n_staff_pairs,n_staff_pairs_expected,n_staff_pairs_evaluated,n_layout_mismatch_images,layout_success_rate,layout_match_rate,mean_staffs_clean,mean_staffs_noisy,success_rate,condition_elapsed_sec,elapsed_seconds,mean_job_elapsed_sec,std_job_elapsed_sec,jobs_per_min,images_per_second,staffs_per_second,mean_noise_generation_sec,mean_layout_elapsed_sec,mean_recognition_elapsed_sec,mean_noise_weight_white,mean_noise_weight_pink,mean_noise_weight_brown,clean_queries,noisy_queries,total_queries,mean_ser,std_ser,mean_cer,std_cer,mean_ser_capped,std_ser_capped,mean_cer_capped,std_cer_capped,mean_clean_ser,std_clean_ser,mean_clean_cer,std_clean_cer,mean_clean_ser_capped,std_clean_ser_capped,mean_clean_cer_capped,std_clean_cer_capped,mean_delta_ser,std_delta_ser,mean_delta_cer,std_delta_cer,mean_delta_ser_capped,std_delta_ser_capped,mean_delta_cer_capped,std_delta_cer_capped,n
A,alpha=0|epsilon_phys=0,0.0,0.0,0.0,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,276,276,670,276,0,1.0,1.0,6.7,6.7,0.0,2.294473999911702,2.294473999911702,0.022944739999117017,0.03348491333979404,2614.9784221703526,43.58297370283921,120.28900741983622,5.071187571999785,0.0,0.0,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,0,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0
A,alpha=0|epsilon_phys=0.01,0.0,0.01,0.01,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,276,276,670,276,0,1.0,1.0,6.7,6.7,0.35,1392.752333299984,1392.752333299984,13.92752333299984,7.716252040181925,4.308016476830173,0.07180027461383622,0.19816875793418795,5.071187571999785,3.812500378000211,9.416144360001594,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,670,960,0.03225801556983026,0.3604374682414289,0.02393705076132282,0.28278833832911293,0.014659671884530054,0.10033187629976348,0.010903998941908782,0.08646238776218897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225801556983026,0.3604374682414289,0.02393705076132282,0.28278833832911293,0.014659671884530054,0.10033187629976348,0.010903998941908782,0.08646238776218897,276.0
A,alpha=0|epsilon_phys=0.02,0.0,0.02,0.02,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,275,275,670,275,1,1.0,0.99,6.7,6.69,0.48,1370.3675601001462,1370.3675601001462,13.703675601001462,7.47736934595076,4.378387357302533,0.0729731226217089,0.20067608720969946,5.071187571999785,3.5809136969995303,9.370585414999319,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,669,959,0.0597348934634073,0.3858496129700529,0.03426518335576729,0.2873457126689329,0.04207255580106964,0.1719444934647402,0.021184738620646296,0.10039929920124778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597348934634073,0.3858496129700529,0.03426518335576729,0.2873457126689329,0.04207255580106964,0.1719444934647402,0.021184738620646296,0.10039929920124778,275.0
A,alpha=0|epsilon_phys=0.04,0.0,0.04,0.04,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,276,276,670,276,0,1.0,1.0,6.7,6.7,0.53,1381.2721837000997,1381.2721837000997,13.812721837000998,7.562323254813648,4.343821638344607,0.07239702730574345,0.1998157953638519,5.071187571999785,3.6193590150001627,9.417243208999388,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,670,960,0.03215848380110496,0.358429058118689,0.023129422546352994,0.2812947065878544,0.014560140115804752,0.09283966504055899,0.01009637072693896,0.081315191915117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03215848380110496,0.358429058118689,0.023129422546352994,0.2812947065878544,0.014560140115804752,0.09283966504055899,0.01009637072693896,0.081315191915117,276.0
A,alpha=0|epsilon_phys=0.08,0.0,0.08,0.08,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,276,276,670,276,1,1.0,0.99,6.7,6.69,0.66,1400.024511899947,1400.024511899947,14.00024511899947,7.791219262934718,4.285639250599629,0.07142732084332715,0.19713940552758294,5.071187571999785,3.6498999840004056,9.569371126998682,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,669,959,0.22053195439469012,2.281069472792869,0.1614736495377717,1.7398856775577902,0.06273400319840138,0.21846179827268725,0.04659076280889135,0.1821894778897803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22053195439469012,2.281069472792869,0.1614736495377717,1.7398856775577902,0.06273400319840138,0.21846179827268725,0.04659076280889135,0.1821894778897803,276.0
A,alpha=0|epsilon_phys=0.16,0.0,0.16,0.16,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,99,100,99,1,100,99,1,276,276,665,276,1,1.0,0.98989898989899,6.717171717171717,6.707070707070707,0.7272727272727273,1379.6458168999998,1379.6458168999998,13.878853940404037,7.702102946292468,4.305452839589588,0.07175754732649313,0.2000513440617384,5.036629565656349,3.7437693000001433,9.320113152524565,0.8792436426315712,0.12075607998565259,2.7738277621997485e-07,290,664,954,0.1111273175301954,0.5844603658446763,0.0799853378714285,0.47870298599571226,0.0594607196713224,0.21108681540239202,0.04491421874049989,0.18066903734329887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111273175301954,0.5844603658446763,0.0799853378714285,0.47870298599571226,0.0594607196713224,0.21108681540239202,0.04491421874049989,0.18066903734329887,276.0
A,alpha=0|epsilon_phys=0.32,0.0,0.32,0.32,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,1,1.0,0.99,6.7,6.69,0.73,1397.8748760000626,1397.8748760000626,13.978748760000625,7.703991066311905,4.292229657327163,0.07153716095545272,0.20388090872304027,5.088463781999779,3.734222495999568,9.415259741001098,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,669,959,0.057559334801062886,0.3868010935555825,0.03920897070929491,0.2958681498599948,0.034983664856971894,0.13721535574906066,0.025266457284513672,0.12105168612505507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057559334801062886,0.3868010935555825,0.03920897070929491,0.2958681498599948,0.034983664856971894,0.13721535574906066,0.025266457284513672,0.12105168612505507,285.0
A,alpha=0|epsilon_phys=0.4,0.0,0.4,0.4,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,1,1.0,0.99,6.7,6.69,0.74,1422.6236680998763,1422.6236680998763,14.226236680998763,8.037673891663362,4.217559523674932,0.07029265872791554,0.2003340773745593,5.088463781999779,3.787464459999908,9.6093596699989,0.8790219366685048,0.12097778872254661,2.746089484577751e-07,290,669,959,0.22013275310914904,2.246698440560599,0.16076598818979257,1.712918340312011,0.06397781413687259,0.2102266999863098,0.048543049929145654,0.18105271908680232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22013275310914904,2.246698440560599,0.16076598818979257,1.712918340312011,0.06397781413687259,0.2102266999863098,0.048543049929145654,0.18105271908680232,285.0
A,alpha=1|epsilon_phys=0,1.0,0.0,0.0,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.0,2.3345561998966105,2.3345561998966105,0.023345561998966105,0.03294152022426219,2570.0816284764187,42.83469380794031,122.07887735262989,5.181222315999715,0.0,0.0,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,0,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
A,alpha=1|epsilon_phys=0.01,1.0,0.01,0.01,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.39,1393.6992625000055,1393.6992625000055,13.936992625000055,8.14921330209205,4.305089456126462,0.07175149093544103,0.20449174916600696,5.181222315999715,3.830782083999858,9.437235748000267,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,670,960,0.003972390232785078,0.024188737394822617,0.0016113936849003875,0.011736324125028915,0.003972390232785078,0.024188737394822617,0.0016113936849003875,0.011736324125028915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003972390232785078,0.024188737394822617,0.0016113936849003875,0.011736324125028915,0.003972390232785078,0.024188737394822617,0.0016113936849003875,0.011736324125028915,285.0
A,alpha=1|epsilon_phys=0.02,1.0,0.02,0.02,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,284,284,670,284,1,1.0,0.99,6.7,6.69,0.49,1371.0144559001062,1371.0144559001062,13.710144559001062,7.7856929449674785,4.376321470703127,0.07293869117838545,0.20714588294661468,5.181222315999715,3.654509370999672,9.359520905999448,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,669,959,0.03207567500536748,0.14765346742909974,0.013884582570601267,0.0686587362612571,0.03207567500536748,0.14765346742909974,0.013884582570601267,0.0686587362612571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03207567500536748,0.14765346742909974,0.013884582570601267,0.0686587362612571,0.03207567500536748,0.14765346742909974,0.013884582570601267,0.0686587362612571,284.0
A,alpha=1|epsilon_phys=0.04,1.0,0.04,0.04,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,2,1.0,0.98,6.7,6.67,0.64,1396.9286952000402,1396.9286952000402,13.969286952000402,8.45842564702262,4.29513691043536,0.07158561517392267,0.20401900324567962,5.181222315999715,3.774846327999553,9.482203090000459,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,667,957,0.19896022445727887,2.2419276444869474,0.14711286630729517,1.7103528596467787,0.050092734877715005,0.19402211703479336,0.0372492697703371,0.16213100282710324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19896022445727887,2.2419276444869474,0.14711286630729517,1.7103528596467787,0.050092734877715005,0.19402211703479336,0.0372492697703371,0.16213100282710324,285.0
A,alpha=1|epsilon_phys=0.08,1.0,0.08,0.08,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,2,1.0,0.98,6.7,6.67,0.71,1390.1646742000798,1390.1646742000798,13.901646742000798,7.812638556897369,4.316035439076657,0.07193392398461096,0.20501168335614123,5.181222315999715,3.6853793530005716,9.481959557000403,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,667,957,0.21443984013056602,2.244639031363592,0.15530762409004342,1.7120524274089444,0.06162498212994953,0.21108878602056533,0.044052617994706625,0.175195960028004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21443984013056602,2.244639031363592,0.15530762409004342,1.7120524274089444,0.06162498212994953,0.21108878602056533,0.044052617994706625,0.175195960028004,285.0
A,alpha=1|epsilon_phys=0.16,1.0,0.16,0.16,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,3,1.0,0.97,6.7,6.68,0.76,1375.4595088999554,1375.4595088999554,13.754595088999555,7.436493206248079,4.362178574634008,0.07270297624390014,0.20720348229511537,5.181222315999715,3.6683090419996383,9.333219878000467,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,667,957,0.21417902245891673,2.2445308508258077,0.1558512387343228,1.7120609581724955,0.06136416445830023,0.2097453721555284,0.04459623263898602,0.17562401434008004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21417902245891673,2.2445308508258077,0.1558512387343228,1.7120609581724955,0.06136416445830023,0.2097453721555284,0.04459623263898602,0.17562401434008004,285.0
A,alpha=1|epsilon_phys=0.32,1.0,0.32,0.32,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,284,284,670,284,5,1.0,0.95,6.7,6.65,0.77,1420.7659257999906,1420.7659257999906,14.207659257999905,8.466043907885428,4.223074252447025,0.07038457087411708,0.1998921812824925,5.181222315999715,3.773940913001354,9.675254465000567,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,664,954,0.2730004799495444,2.270473306307469,0.2001975270857557,1.733871855478764,0.09638008080345503,0.26461508858957533,0.0728723190239613,0.2238620428105242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2730004799495444,2.270473306307469,0.2001975270857557,1.733871855478764,0.09638008080345503,0.26461508858957533,0.0728723190239613,0.2238620428105242,284.0
A,alpha=1|epsilon_phys=0.4,1.0,0.4,0.4,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,284,284,670,284,4,1.0,0.96,6.7,6.64,0.77,1413.299574799978,1413.299574799978,14.13299574799978,7.999097595661867,4.245384423078999,0.07075640705131665,0.20094819602573932,5.181222315999715,3.8818207280004753,9.475216245000526,0.12017526744446105,0.7800452499413079,0.09977948261423092,290,664,954,0.23163205959964778,2.25323968682031,0.1673096805189249,1.7182952134961385,0.07223809598985313,0.22863553530045194,0.05296724915391508,0.1933125401721211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23163205959964778,2.25323968682031,0.1673096805189249,1.7182952134961385,0.07223809598985313,0.22863553530045194,0.05296724915391508,0.1933125401721211,284.0
A,alpha=2|epsilon_phys=0,2.0,0.0,0.0,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.0,2.3479275999785614,2.3479275999785614,0.023479275999785613,0.03279409620131956,2555.445065705938,42.590751095098966,121.38364062103206,5.177880190001132,0.0,0.0,2.432908717274502e-06,0.11522853661748114,0.8847690304738016,290,0,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0
A,alpha=2|epsilon_phys=0.01,2.0,0.01,0.01,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.34,1388.0800160000106,1388.0800160000106,13.880800160000106,7.720458044238996,4.3225173843292,0.07204195640548666,0.205319575755637,5.177880190001132,3.7386220380004715,9.53497980699939,2.432908717274502e-06,0.11522853661748114,0.8847690304738016,290,670,960,0.00251265421410612,0.01689022377807214,0.0011530764930027223,0.011714980234939788,0.00251265421410612,0.01689022377807214,0.0011530764930027223,0.011714980234939788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00251265421410612,0.01689022377807214,0.0011530764930027223,0.011714980234939788,0.00251265421410612,0.01689022377807214,0.0011530764930027223,0.011714980234939788,285.0
A,alpha=2|epsilon_phys=0.02,2.0,0.02,0.02,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.36,1369.93836560009,1369.93836560009,13.6993836560009,7.642769372268532,4.379759083082362,0.07299598471803936,0.2080385564464122,5.175856460001058,3.567527320999105,9.49459022799989,2.432908717274502e-06,0.11522853661748114,0.8847690304738016,290,670,960,0.006918077655074199,0.04320423871422155,0.002792871449947368,0.019747008748708432,0.006918077655074199,0.04320423871422155,0.002792871449947368,0.019747008748708432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006918077655074199,0.04320423871422155,0.002792871449947368,0.019747008748708432,0.006918077655074199,0.04320423871422155,0.002792871449947368,0.019747008748708432,285.0
A,alpha=2|epsilon_phys=0.04,2.0,0.04,0.04,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.46,1381.7258439000436,1381.7258439000436,13.817258439000437,7.616782509508038,4.342395437190686,0.07237325728651144,0.20626378326655762,5.175856460001058,3.6307287559992494,9.5210584350002,2.432908717274502e-06,0.11522853661748114,0.8847690304738016,290,670,960,0.008781123103024958,0.04737798941616196,0.003089932231369213,0.020080412751751407,0.008781123103024958,0.04737798941616196,0.003089932231369213,0.020080412751751407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008781123103024958,0.04737798941616196,0.003089932231369213,0.020080412751751407,0.008781123103024958,0.04737798941616196,0.003089932231369213,0.020080412751751407,285.0
A,alpha=2|epsilon_phys=0.08,2.0,0.08,0.08,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.59,1386.9420931000463,1386.9420931000463,13.869420931000464,7.656715358641635,4.326063813225974,0.07210106355376623,0.20548803112823374,5.190445720001012,3.682282531000224,9.495873316000965,2.432908717274502e-06,0.11522853661748114,0.8847690304738016,290,670,960,0.03860777890642309,0.355884334881165,0.02539129451411907,0.2776488032690514,0.021565172390132364,0.1039979625060077,0.012769812752160213,0.08322578098143699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860777890642309,0.355884334881165,0.02539129451411907,0.2776488032690514,0.021565172390132364,0.1039979625060077,0.012769812752160213,0.08322578098143699,285.0
A,alpha=2|epsilon_phys=0.16,2.0,0.16,0.16,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,0,1.0,1.0,6.7,6.7,0.68,1387.3284080000155,1387.3284080000155,13.873284080000156,7.703357317368242,4.32485917926935,0.07208098632115582,0.2054308110152941,5.190445720001012,3.6426015920005734,9.528003071998713,2.432908717274502e-06,0.11522853661748114,0.8847690304738016,290,670,960,0.2058023171930005,2.244114391432583,0.14976292830417676,1.7124790526356721,0.052987459192383984,0.19890603966501516,0.03812927775598121,0.1668257600711724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2058023171930005,2.244114391432583,0.14976292830417676,1.7124790526356721,0.052987459192383984,0.19890603966501516,0.03812927775598121,0.1668257600711724,285.0
A,alpha=2|epsilon_phys=0.32,2.0,0.32,0.32,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,285,285,670,285,1,1.0,0.99,6.7,6.69,0.73,1400.11521609996,1400.11521609996,14.0011521609996,7.892671288987793,4.285361612391502,0.07142269353985836,0.20355467658859633,5.190445720001012,3.7256036450001435,9.556013069000246,2.432908717274502e-06,0.11522853661748114,0.8847690304738016,290,669,959,0.046193399235036035,0.35523704448243576,0.029647596066592535,0.2707326460890961,0.027319290887243483,0.11923694243406702,0.017799766973077582,0.10436416984827235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046193399235036035,0.35523704448243576,0.029647596066592535,0.2707326460890961,0.027319290887243483,0.11923694243406702,0.017799766973077582,0.10436416984827235,285.0
A,alpha=2|epsilon_phys=0.4,2.0,0.4,0.4,,A2_SELF_CONSISTENCY,True,clean_onnx_prediction,100,100,100,0,100,100,0,284,284,670,284,3,1.0,0.97,6.7,6.67,0.72,1386.9732767000312,1386.9732767000312,13.869732767000311,7.80607687775393,4.325966549460531,0.07209944249100884,0.20476241667446513,5.190445720001012,3.672693425999262,9.480265217000106,2.432908717274502e-06,0.11522853661748114,0.8847690304738016,290,667,957,0.08243381083098725,0.4328541943780085,0.05540154675966415,0.3285031323956597,0.05194696548725868,0.18188751398752162,0.037873522649892175,0.16020112042533527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08243381083098725,0.4328541943780085,0.05540154675966415,0.3285031323956597,0.05194696548725868,0.18188751398752162,0.037873522649892175,0.16020112042533527,284.0
